포핸드 스메싱 ,포핸드 커트 ,Matching,71
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
710,276,370,-886,0,1270,1014,33,0,1161
734,227,268,-1037,0,1339,1014,33,0,1161
810,166,285,-1194,0,1372,1150,42,0,1169
948,77,314,-1365,0,1382,1150,42,0,1169
987,3,267,-1506,0,1368,1150,42,0,1169
1066,-75,245,-1657,0,1297,1361,45,0,1172
1240,-187,189,-1895,0,1207,1499,50,0,1180
1342,-269,205,-2105,0,1141,1499,50,0,1180
1362,-361,175,-2374,0,992,1618,52,0,1184
1465,-418,231,-2519,0,829,1733,55,0,1195
1562,-532,296,-2572,0,583,1733,55,0,1195
1607,-607,315,-2564,0,414,1722,59,0,1203
1683,-749,297,-2544,0,250,1687,84,0,1268
1631,-827,158,-2597,0,145,1687,84,0,1268
1554,-983,-92,-2890,0,-36,1687,84,0,1268
1525,-1049,-250,-3271,0,-222,1687,84,0,1268
1515,-951,-243,-3694,0,-487,1687,84,0,1268
1426,-877,-75,-4005,0,-971,1873,84,0,1265
1412,-910,-30,-4011,0,-1382,1873,84,0,1265
1612,-859,182,-3773,0,-1670,1910,85,0,1263
1738,-897,239,-3475,0,-1699,1826,91,0,1254
1559,-958,196,-3127,0,-1566,1826,91,0,1254
1458,-815,159,-2905,0,-1430,1826,91,0,1254
1470,-767,124,-2757,0,-1318,1985,96,0,1247
1566,-736,215,-2632,0,-1199,1985,96,0,1247
1820,-774,461,-2391,0,-1075,1772,98,0,1245
1657,-791,516,-2160,0,-1022,1646,100,0,1241
1409,-746,282,-1891,0,-1236,1653,102,0,1236
1527,-734,5,-1892,0,-1486,1616,117,0,1209
1599,-752,-89,-2004,0,-1631,1616,117,0,1209
1407,-717,115,-2027,0,-1767,1616,117,0,1209
1508,-674,295,-1874,0,-1856,1616,117,0,1209
1589,-672,241,-1611,0,-1803,1616,117,0,1209
1558,-662,118,-1490,0,-1780,1596,120,0,1203
1545,-655,-7,-1463,0,-1870,1481,126,0,1192
1511,-645,-24,-1454,0,-2045,1481,126,0,1192
1457,-674,76,-1361,0,-2314,1301,129,0,1181
1289,-633,13,-1266,0,-2478,1301,129,0,1181
1309,-518,-82,-1209,0,-2572,1199,132,0,1177
1308,-463,-108,-1125,0,-2472,927,133,0,1168
1139,-404,-136,-971,0,-2297,927,133,0,1168
929,-332,-251,-750,0,-2032,800,133,0,1165
766,-289,-342,-667,0,-1860,720,132,0,1158
541,-212,-379,-631,0,-1781,720,132,0,1158
487,-151,-336,-607,0,-1802,882,132,0,1157
555,-111,-315,-534,0,-1736,1108,130,0,1154
711,-118,-346,-436,0,-1430,1108,130,0,1154
759,-76,-478,-282,0,-795,1409,125,0,1155
409,-241,-790,-280,0,-372,1409,125,0,1155
406,-511,-837,-405,0,-143,1914,122,0,1156
509,-692,-828,-511,0,13,2603,116,0,1160
647,-900,-847,-532,0,254,2603,116,0,1160
782,-1237,-1075,-470,0,665,3743,105,0,1163
905,-1585,-1348,-355,0,988,3743,105,0,1163
1232,-2170,-1847,-178,0,1387,4666,96,0,1163
1789,-2693,-2092,-14,0,1819,5444,88,0,1164
2855,-3339,-1638,852,0,2846,5633,77,0,1158
3492,-3615,-1220,2622,0,3883,6075,66,0,1149
4441,-3481,-574,5925,0,4824,6462,49,0,1122
5273,-3023,-277,8469,0,5172,6462,49,0,1122

