포핸드 스메싱 ,백핸드 쇼트 ,Matching,89
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1889,-982,2736,-697,0,46,1525,116,0,-2880
1055,-537,2223,-386,0,361,1525,116,0,-2880
563,-14,1593,47,0,435,1293,126,0,-2870
560,152,1295,203,0,414,1293,126,0,-2870
665,192,1211,331,0,475,1293,126,0,-2870
690,194,1136,428,0,633,1113,129,0,-2865
547,207,974,469,0,877,1083,131,0,-2855
469,223,901,424,0,1028,1083,131,0,-2855
518,213,866,248,0,1156,1134,129,0,-2842
721,223,770,-681,0,1612,1134,129,0,-2842
798,140,633,-864,0,1647,1134,129,0,-2842
888,61,629,-1093,0,1693,1146,127,0,-2839
965,22,612,-1364,0,1685,1405,123,0,-2834
1113,-5,598,-1580,0,1666,1441,113,0,-2824
1285,-169,571,-1859,0,1721,1441,113,0,-2824
1289,-277,475,-2063,0,1772,1597,101,0,-2813
1248,-363,375,-2360,0,1722,1597,101,0,-2813
1314,-449,321,-2694,0,1496,1763,95,0,-2807
1420,-562,340,-2909,0,1299,1813,74,0,-2788
1468,-659,413,-3051,0,1127,1813,74,0,-2788
1573,-775,425,-3140,0,934,1813,74,0,-2788
1558,-877,441,-3128,0,785,1788,67,0,-2781
1446,-1044,250,-3089,0,507,1779,61,0,-2775
1391,-1066,197,-3143,0,211,1828,46,0,-2765
1398,-1117,155,-3214,0,-95,1828,46,0,-2765
1543,-1122,188,-3351,0,-316,1779,39,0,-2761
1478,-1117,298,-3397,0,-352,1641,26,0,-2755
1281,-1134,350,-3365,0,-372,1641,26,0,-2755
1166,-1115,403,-3292,0,-409,1614,21,0,-2753
1097,-1168,395,-3163,0,-466,1583,18,0,-2751
1091,-1183,395,-3053,0,-499,1583,18,0,-2751
1080,-1175,409,-2876,0,-508,1494,25,0,-2750
1073,-1164,411,-2709,0,-481,1494,25,0,-2750
1043,-1156,395,-2542,0,-445,1335,34,0,-2751
1009,-1073,372,-2380,0,-412,1335,34,0,-2751
943,-1001,365,-2271,0,-401,1255,45,0,-2753
913,-950,345,-2190,0,-419,1255,45,0,-2753
900,-894,357,-2132,0,-458,1168,55,0,-2758
897,-815,382,-1998,0,-569,1168,55,0,-2758
894,-772,375,-1904,0,-616,1103,71,0,-2763
898,-710,339,-1773,0,-655,1103,71,0,-2763
890,-670,270,-1687,0,-672,1103,71,0,-2763
892,-641,220,-1609,0,-692,1072,82,0,-2767
901,-594,188,-1559,0,-710,1072,82,0,-2767
899,-533,173,-1493,0,-728,1076,95,0,-2768
902,-515,158,-1429,0,-734,1076,95,0,-2768
892,-487,154,-1354,0,-736,1125,108,0,-2767
961,-428,66,-1077,0,-868,1125,108,0,-2767
1087,-348,-19,-985,0,-922,1103,123,0,-2761
1100,-316,-59,-924,0,-875,1103,123,0,-2761
1069,-286,-80,-877,0,-864,1103,123,0,-2761
1052,-232,-93,-824,0,-911,1195,124,0,-2763
1098,-176,-129,-767,0,-974,1271,126,0,-2770
1152,-140,-188,-718,0,-1021,1271,126,0,-2770
1245,-93,-241,-660,0,-1058,1290,128,0,-2772
1271,-74,-275,-611,0,-1055,1281,128,0,-2775
1241,-15,-254,-517,0,-1031,1304,128,0,-2780
1201,25,-195,-372,0,-985,1304,128,0,-2780
1218,17,-261,-134,0,-908,1304,128,0,-2780
1221,-12,-311,19,0,-855,1481,126,0,-2783

