포핸드 스메싱 ,포핸드 스메싱 ,Matching,90
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1473,373,23,-1769,0,-1305,1438,73,0,15959
1447,381,111,-1695,0,-1343,1381,79,0,15950
1401,364,70,-1573,0,-1406,1381,79,0,15950
1399,332,2,-1547,0,-1445,1303,96,0,15929
1354,296,-45,-1574,0,-1482,1303,96,0,15929
1375,335,-50,-1573,0,-1466,1303,96,0,15929
1260,400,-145,-1559,0,-1398,1216,117,0,15905
1180,428,-189,-1609,0,-1381,1216,117,0,15905
1124,437,-125,-1665,0,-1457,1225,132,0,15889
1192,431,9,-1625,0,-1601,1202,167,0,15833
1251,491,84,-1511,0,-1699,1202,167,0,15833
1349,501,27,-1365,0,-1674,1202,167,0,15833
1249,420,-60,-1294,0,-1538,1202,167,0,15833
1172,331,-203,-1288,0,-1472,1202,167,0,15833
1078,416,-269,-1306,0,-1545,1313,165,0,15830
1112,504,-286,-1344,0,-1763,1402,162,0,15823
1296,485,-232,-1349,0,-1888,1402,162,0,15823
1485,357,-115,-1218,0,-1868,1280,161,0,15817
1442,358,-146,-999,0,-1755,1280,161,0,15817
1024,342,-505,-734,0,-1642,1412,160,0,15811
766,341,-798,-669,0,-1719,1412,160,0,15811
760,305,-970,-747,0,-1814,1620,161,0,15808
1056,176,-864,-989,0,-1466,1620,161,0,15808
944,-11,-899,-952,0,-1054,1925,168,0,15809
784,-150,-1004,-840,0,-876,1925,168,0,15809
632,-419,-1103,-628,0,-720,1925,168,0,15809
645,-787,-1484,-567,0,-494,3285,170,0,15812
948,-1366,-1895,-940,0,-14,4391,162,0,15829
1281,-1870,-1776,-1327,0,739,4391,162,0,15829
1099,-2288,-1793,-1337,0,1589,4391,162,0,15829
990,-3097,-1475,-771,0,2326,7492,142,0,15850
1886,-3850,-1697,80,0,2963,7492,142,0,15850
2920,-4949,-2122,1035,0,4468,9465,110,0,15890
4158,-5257,-836,2386,0,5577,9465,110,0,15890
5764,-5782,-248,5965,0,7037,10704,92,0,15912
7906,-6304,-552,9063,0,7474,11539,60,0,15941
9088,-7750,-828,11372,0,6485,11539,60,0,15941
10051,-8361,-676,11747,0,4358,10063,49,0,15946
9784,-7134,667,11278,0,2537,7089,42,0,15946
7093,-6705,287,9588,0,1047,7089,42,0,15946
6393,-6565,-39,5992,0,-724,4103,50,0,15944
6724,-4961,2600,1940,0,-1129,4103,50,0,15944
5193,-3232,3515,928,0,-351,4103,50,0,15944
3245,-1632,2767,669,0,298,2368,55,0,15947
2460,-805,2019,357,0,536,2368,55,0,15947
2131,-236,1670,-115,0,562,2036,59,0,15949
1940,134,1551,-338,0,420,2036,59,0,15949
1729,437,1438,-396,0,170,1673,61,0,15949
1659,643,1168,-294,0,15,1242,62,0,15949
1494,628,885,-195,0,49,1091,62,0,15949
1308,625,646,-136,0,86,1091,62,0,15949
1138,585,319,-145,0,137,1091,62,0,15949
921,547,209,-186,0,190,1101,61,0,15948
894,503,30,-250,0,130,1101,61,0,15948
975,465,-41,-336,0,80,1101,61,0,15948
1024,420,-38,-463,0,97,1062,61,0,15948
1010,406,13,-538,0,140,1062,61,0,15948
912,418,3,-607,0,139,1120,61,0,15947
961,402,-14,-696,0,43,1236,65,0,15947
1031,371,-20,-849,0,-173,1236,65,0,15947

