포핸드 드라이브 ,백핸드 쇼트 ,Matching,0
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
1049,280,407,-120,0,131,1167,64,0,440
1262,270,517,-100,0,-128,1043,62,0,439
1224,324,504,-64,0,-227,1043,62,0,439
1102,399,432,-46,0,-219,1043,62,0,439
965,374,358,-47,0,-93,1015,61,0,439
879,447,217,-27,0,153,1015,61,0,439
783,377,182,-75,0,377,1048,60,0,438
746,340,201,-109,0,566,1164,59,0,438
741,391,217,-130,0,642,1164,59,0,438
773,359,295,-121,0,683,1313,56,0,439
780,325,349,-29,0,675,1313,56,0,439
904,442,267,69,0,660,1381,56,0,438
1027,415,284,134,0,691,1441,54,0,435
1089,452,288,175,0,699,1441,54,0,435
1236,433,398,288,0,637,1484,52,0,434
1450,419,468,470,0,597,1432,47,0,429
1606,377,389,701,0,605,1432,47,0,429
1567,384,153,707,0,604,1432,47,0,429
1264,234,175,524,0,446,1629,44,0,416
964,188,255,476,0,41,1629,44,0,416
462,105,113,371,0,-641,1629,44,0,416
307,-362,732,432,0,-1574,1629,44,0,416
969,576,66,601,0,-1858,1755,44,0,413
917,725,-423,458,0,-1413,1884,42,0,409
-227,1601,330,288,0,-1139,1884,42,0,409
-487,1341,2496,82,0,-1704,942,37,0,405
739,314,-762,152,0,-1566,942,37,0,405
815,233,-399,-285,0,-1120,950,36,0,405
986,156,102,-412,0,-701,937,32,0,403
676,83,759,-85,0,-245,937,32,0,403
254,78,891,329,0,-28,939,29,0,402
-27,189,788,753,0,17,1013,23,0,399
-261,398,527,1177,0,-97,1013,23,0,399
-324,264,613,1460,0,-302,1081,14,0,394
-24,216,698,1808,0,-582,1081,14,0,394
-110,470,610,1986,0,-732,1081,14,0,394
63,240,766,2103,0,-905,1347,10,0,392
213,90,823,2076,0,-894,1347,10,0,392
216,-38,1145,2017,0,-700,1451,10,0,391
172,-220,1579,1954,0,-459,1366,8,0,390
10,-304,1633,1932,0,-250,1366,8,0,390
24,-408,1554,1838,0,-6,1232,7,0,389
-81,-505,1462,1623,0,66,1232,7,0,389
-153,-599,1265,1096,0,-58,1189,5,0,389
80,-575,1011,505,0,-105,1196,2,0,389
94,-545,907,-198,0,29,1196,2,0,389
-22,-431,1038,-475,0,142,1238,2,0,390
2,-473,1178,-553,0,152,1222,1,0,390
-250,-400,1098,-558,0,131,1222,1,0,390
-142,71,1222,-516,0,52,1217,1,0,390
-7,296,1380,-470,0,-6,1169,1,0,390
-243,48,1527,-276,0,-4,1169,1,0,390
104,84,1455,-13,0,-20,1007,1,0,390
113,9,736,30,0,-18,1007,1,0,390
-7,20,1011,-3,0,-1,1006,1,0,390
-4,22,1008,0,0,-1,1006,1,0,390
-3,23,1011,-3,0,-1,1006,1,0,390
-7,25,1002,0,0,0,1009,1,0,390
-5,22,1010,-2,0,-1,1009,1,0,390
-8,26,1014,-2,0,-3,1009,1,0,390

