포핸드 스메싱 ,백핸드 커트 ,Matching,60
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
687,1602,118,-19,0,-735,1359,89,0,1543
496,1530,92,369,0,-807,1297,89,0,1540
64,1493,31,779,0,-1134,1187,90,0,1530
138,1243,159,983,0,-1485,1187,90,0,1530
164,1315,-319,1125,0,-1771,1090,99,0,1505
122,1178,-573,762,0,-1825,1090,99,0,1505
556,982,-923,97,0,-1634,885,111,0,1459
854,1077,-1140,-521,0,-1229,661,135,0,1374
837,605,-1022,-1290,0,-519,661,135,0,1374
89,523,-402,-1579,0,-203,661,123,0,1362
13,505,263,-1671,0,101,685,119,0,1339
188,522,119,-1593,0,174,685,119,0,1339
180,362,87,-1536,0,301,685,119,0,1339
333,273,134,-1357,0,414,685,119,0,1339
350,371,42,-1185,0,497,685,119,0,1339
132,518,19,-960,0,549,999,120,0,1338
270,411,-61,-708,0,465,999,120,0,1338
68,498,-278,-414,0,300,1106,121,0,1339
207,492,-401,-219,0,179,1354,119,0,1339
236,556,-592,-51,0,96,1354,119,0,1339
288,605,-743,-47,0,65,1554,119,0,1340
366,639,-710,-103,0,59,1554,119,0,1340
502,665,-695,-102,0,141,1819,120,0,1340
460,734,-772,-74,0,227,2190,121,0,1340
542,868,-854,-109,0,254,2190,121,0,1340
595,1036,-911,-177,0,217,2363,121,0,1339
755,1317,-1040,-330,0,98,2658,125,0,1337
773,1476,-1183,-521,0,-65,2658,125,0,1337
772,1486,-1407,-895,0,-454,2924,128,0,1337
827,1498,-1452,-1106,0,-795,3308,133,0,1337
743,1451,-1505,-1097,0,-1013,3308,133,0,1337
395,1229,-1727,-946,0,-993,3958,139,0,1343
110,721,-2054,-865,0,-782,3958,139,0,1343
-408,-241,-2514,-952,0,-205,4747,144,0,1347
-681,-1092,-2661,-1112,0,347,5195,154,0,1360
-621,-2547,-2567,-1291,0,1146,5195,154,0,1360
-79,-3634,-2496,-1268,0,2112,5638,159,0,1368
392,-4958,-2678,-1060,0,3707,5634,169,0,1388
942,-4867,-2436,-685,0,4691,5634,169,0,1388
1337,-4233,-2124,574,0,5418,6036,173,0,1399
2585,-4014,-2791,1818,0,5431,6322,148,0,1440
4334,-4197,-3107,2532,0,5125,6322,148,0,1440
5293,-3935,-2702,2790,0,4787,6322,148,0,1440
5908,-3493,-2373,2923,0,4493,6322,148,0,1440
6122,-2777,-1521,3021,0,4098,5781,140,0,1448
5926,-2545,-1349,3192,0,3534,5329,123,0,1474
5993,-2058,-1050,3191,0,2748,5329,123,0,1474
6058,-1850,-668,3004,0,2415,4744,115,0,1486
5683,-1565,-166,2805,0,2343,4096,104,0,1503
5407,-1333,8,2589,0,2251,4096,104,0,1503
5053,-1052,167,2252,0,2029,3497,94,0,1515
4789,-970,238,1961,0,1756,3497,94,0,1515
4618,-694,379,1626,0,1412,3201,91,0,1519
4343,-458,664,1420,0,1402,2518,84,0,1527
3778,-338,803,1324,0,1521,2518,84,0,1527
3012,-267,702,1234,0,1491,2518,84,0,1527
2925,-241,649,1096,0,1360,2246,82,0,1528
2668,-192,752,928,0,1272,1947,80,0,1531
2265,-81,815,862,0,1219,1689,78,0,1533
1912,75,677,783,0,1042,1689,78,0,1533

