포핸드 스메싱 ,포핸드 쇼트 ,Matching,83
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
801,184,-820,-513,0,-1673,1018,100,0,18458
705,168,-832,-363,0,-1631,1018,100,0,18458
567,124,-845,-239,0,-1571,1016,100,0,18449
414,148,-871,-128,0,-1480,1016,100,0,18449
395,167,-962,-90,0,-1332,1007,103,0,18443
304,184,-931,-74,0,-1078,1014,110,0,18428
247,194,-933,-85,0,-882,1014,110,0,18428
108,157,-920,-121,0,-681,1087,157,0,18330
42,193,-857,-150,0,-592,1087,157,0,18330
90,254,-852,-158,0,-496,1087,157,0,18330
159,283,-842,-157,0,-392,1087,157,0,18330
157,358,-770,-160,0,-207,1215,127,0,18302
115,430,-776,-162,0,-73,1215,127,0,18302
70,433,-758,-173,0,11,1215,127,0,18302
30,468,-804,-176,0,29,1215,127,0,18302
50,556,-768,-165,0,-9,1215,127,0,18302
80,599,-799,-91,0,-76,1215,127,0,18302
148,657,-867,-34,0,-93,1461,126,0,18304
281,668,-829,28,0,-7,1664,125,0,18305
339,738,-854,46,0,91,1664,125,0,18305
474,863,-779,47,0,210,1767,126,0,18306
558,929,-782,39,0,271,2179,127,0,18307
524,972,-822,-34,0,183,2179,127,0,18307
595,1015,-887,-227,0,-155,2356,133,0,18306
692,991,-903,-448,0,-534,2356,133,0,18306
771,882,-984,-751,0,-730,2356,133,0,18306
494,687,-1222,-1035,0,-552,3611,136,0,18310
-257,300,-1494,-1398,0,-172,3611,136,0,18310
-820,-151,-1718,-1398,0,85,4570,140,0,18313
-1144,-1137,-2054,-1106,0,650,5060,149,0,18324
-1041,-2300,-2371,-746,0,1312,5060,149,0,18324
-577,-3613,-2769,-434,0,2212,5326,163,0,18341
-101,-4640,-2780,34,0,3658,5326,163,0,18341
758,-4811,-2414,835,0,4671,5266,170,0,18351
2079,-4814,-2322,2198,0,5566,5005,172,0,18369
3634,-4626,-2335,3017,0,5717,5005,172,0,18369
4914,-4535,-1869,3752,0,5483,3916,163,0,18380
5839,-4448,-1547,4195,0,5118,1900,82,0,18454
6208,-4282,-939,4476,0,4609,1900,82,0,18454
6325,-3939,69,4590,0,4100,1900,82,0,18454
6102,-3063,1146,4952,0,3419,1900,82,0,18454
5404,-2419,1282,4980,0,2738,1900,82,0,18454
4794,-1868,1273,4434,0,1838,1900,82,0,18454
4380,-1443,1805,3316,0,1020,1900,82,0,18454
3820,-1339,2067,2770,0,850,1900,82,0,18454
3010,-1196,1655,2278,0,749,1900,82,0,18454
2571,-866,1384,1931,0,671,1900,82,0,18454
2144,-562,1034,1478,0,619,1764,76,0,18458
1973,-421,996,1113,0,651,1492,78,0,18428
1797,-220,1131,868,0,705,1492,78,0,18428
1340,255,758,383,0,704,1492,78,0,18428
1308,358,803,278,0,676,1445,116,0,18325
1305,410,767,187,0,644,1445,116,0,18325
1253,435,653,51,0,590,1427,135,0,18332
1223,466,569,-118,0,527,1427,138,0,18328
1212,467,537,-336,0,445,1427,138,0,18328
1256,489,543,-493,0,380,1427,138,0,18328
1296,482,517,-665,0,304,1427,138,0,18328
1250,483,469,-837,0,160,1427,138,0,18328
1276,492,360,-967,0,39,1427,138,0,18328

