포핸드 스메싱 ,포핸드 드라이브 ,Matching,91
AX,AY,AZ,GX,GY,GZ,speed,degree,piezoo,degreez
755,29,-917,-751,0,-1612,1021,99,0,24573
485,-65,-858,-598,0,-1342,1030,100,0,24568
321,82,-878,-351,0,-1036,1084,102,0,24560
224,168,-977,-217,0,-765,1084,102,0,24560
178,205,-1064,-144,0,-530,1077,108,0,24549
101,134,-1033,-84,0,-335,1077,108,0,24549
136,171,-1045,-75,0,-277,1084,114,0,24537
136,324,-942,-74,0,-222,1129,133,0,24497
180,399,-905,-81,0,-194,1129,133,0,24497
215,538,-801,-74,0,-152,1266,157,0,24435
216,583,-802,-57,0,-123,1266,157,0,24435
258,666,-703,-30,0,-86,1266,157,0,24435
340,716,-682,-22,0,-36,1266,157,0,24435
402,738,-680,-38,0,62,1266,157,0,24435
435,771,-667,-94,0,218,1266,157,0,24435
408,822,-645,-152,0,316,1479,159,0,24435
383,856,-562,-223,0,299,1479,159,0,24435
386,849,-562,-280,0,143,1577,161,0,24434
542,834,-604,-382,0,-248,1811,164,0,24432
694,934,-612,-485,0,-599,1811,164,0,24432
861,970,-650,-607,0,-965,2015,167,0,24432
836,947,-768,-713,0,-1080,2015,167,0,24432
492,912,-972,-854,0,-1061,2351,169,0,24433
137,757,-1057,-907,0,-970,2939,172,0,24437
-133,575,-1112,-850,0,-764,2939,172,0,24437
-368,107,-1186,-601,0,-211,3893,174,0,24445
-556,-286,-1439,-403,0,389,3893,174,0,24445
-681,-1066,-1807,-258,0,1188,4316,175,0,24451
-492,-1688,-2007,-203,0,1771,5243,166,0,24466
-338,-2623,-2572,-169,0,2510,5243,166,0,24466
-188,-3330,-2700,-240,0,2813,5780,159,0,24476
825,-4475,-2316,184,0,3276,6161,140,0,24501
1991,-4610,-2043,1122,0,4352,6161,140,0,24501
2659,-4499,-1534,2281,0,5702,6564,129,0,24519
3019,-5069,-1240,4118,0,6245,6699,107,0,24560
4067,-5426,-1568,5500,0,5788,6699,107,0,24560
5192,-5393,-1056,6799,0,4869,6215,87,0,24589
5530,-5433,-1043,7280,0,4005,6215,87,0,24589
5627,-5206,-407,6934,0,2976,5394,80,0,24596
5138,-4761,26,6248,0,2350,4489,68,0,24602
4749,-4295,554,4704,0,1246,4489,68,0,24602
5658,-3738,1823,3726,0,736,4489,68,0,24602
4587,-2711,2154,3302,0,813,2677,64,0,24604
3579,-2195,1855,3028,0,752,2677,64,0,24604
3020,-1959,1680,2682,0,631,2354,62,0,24604
2721,-1620,1667,2245,0,524,2354,62,0,24604
2403,-1249,1485,1945,0,497,1942,62,0,24603
2075,-799,1111,1440,0,427,1638,62,0,24603
1817,-547,990,1006,0,396,1638,62,0,24603
1685,-385,1050,661,0,375,1423,62,0,24603
1684,-279,1128,631,0,439,1423,62,0,24603
1636,-113,1009,765,0,602,1423,62,0,24603
1474,-18,821,857,0,706,1275,62,0,24602
1286,24,637,895,0,693,1275,62,0,24602
1177,83,580,906,0,568,1275,62,0,24602
1174,134,492,907,0,397,1273,62,0,24601
1207,220,355,839,0,247,1273,62,0,24601
1267,270,247,695,0,216,1248,62,0,24600
1212,276,243,424,0,286,1239,62,0,24600
1151,298,285,247,0,321,1239,62,0,24600

